"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Brendan Harrogate","YES",61,1998-02-13,1998,"6.01",192,"RW","Mississauga Steelheads",2,1,0,1,0.5,1,0,0,0,0,0,0,1,0,4,1
"Mike Davies","NO",93,1997-02-05,1997,"6.02",205,"LW","Saginaw Spirit",4,1,0,1,0.25,-2,0,0,0,0,0,0,0,0,2,1
"Evan de Haan","NO",22,1995-02-15,1995,"6.00",172,"D","Ottawa 67's",5,1,0,1,0.2,-1,0,0,0,0,0,0,0,0,2,1
"Austen Keating","YES",9,1999-03-07,1999,"6.00",175,"LW","Ottawa 67's",5,1,0,1,0.2,-1,0,0,0,0,0,0,0,0,0,1
"Nicolas Mattinen","YES",3,1998-03-05,1998,"6.05",219,"D","London Knights",5,1,0,1,0.2,1,1,0,1,0,0,0,0,0,2,1
"Logan Stanley","NO",17,1998-05-26,1998,"6.07",240,"D","Windsor Spitfires",5,1,0,1,0.2,-5,0,0,0,0,0,0,0,0,16,1
"Ryan McGregor","YES",19,1999-01-29,1999,"6.01",177,"LW","Sarnia Sting",7,1,0,1,0.14,0,0,0,0,0,0,0,0,0,0,1
"Ryan Verbeek","NO",9,1996-06-02,1996,"6.00",198,"LW","Kingston Frontenacs",7,1,0,1,0.14,2,0,0,0,0,0,0,1,0,4,1
"Nick Magyar","NO",20,1996-05-29,1996,"6.01",194,"RW","Kitchener Rangers",9,1,0,1,0.11,0,0,0,0,0,0,0,0,0,2,1
"Conor McGlynn","NO",81,1995-06-19,1995,"6.3",210,"C","Kingston Frontenacs",9,1,0,1,0.11,-1,1,0,1,0,0,0,0,0,4,1
"Frankie Pucci","NO",39,1997-01-18,1997,"5.09",166,"LW","Sault Ste. Marie Greyhounds",10,1,0,1,0.1,0,0,0,0,0,0,0,0,0,0,1
"Riley Bruce","NO",8,1997-07-16,1997,"6.07",200,"D","North Bay Battalion",11,1,0,1,0.09,-10,1,0,1,0,0,0,0,0,18,1
"Christian Girhiny","YES",7,1998-08-21,1998,"5.11",150,"LW","Erie Otters",11,1,0,1,0.09,-3,0,0,0,0,0,0,0,0,4,1
