"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Julian Melchiori",1991-12-06,"D","Kitchener Rangers",63,0,1,1,0.02,5
"Kalle Ekelund",1990-07-25,"D","Peterborough Petes",68,0,1,1,0.01,2
"Kyle Pereira",1991-02-02,"D","Guelph Storm",67,0,1,1,0.01,4
"Luke Cairns",1994-05-29,"C","Erie Otters",60,0,1,1,0.02,6
"Matt Ashman",1990-05-09,"D","Barrie Colts",61,0,1,1,0.02,4
"Matt Stanisz",1990-05-19,"D","Owen Sound Attack",61,0,1,1,0.02,2
"Michael Kantor",1992-02-02,"RW","Sault Ste. Marie Greyhounds",52,0,1,1,0.02,5
"Mitch Gaulton",1990-04-25,"D","Kingston Frontenacs",55,0,1,1,0.02,5
"Nick Ebert",1994-05-11,"D","Windsor Spitfires",64,0,1,1,0.02,2
"Nick Malysa",1993-04-11,"D","Plymouth Whalers",65,0,1,1,0.02,11
"Nickolas Latta",1993-10-05,"C","Sarnia Sting",61,0,1,1,0.02,7
"Sam Lofquist",1990-03-10,"D","Guelph Storm",62,0,1,1,0.02,3
"Simon Gronvaldt",1991-01-30,"D","Niagara IceDogs",57,0,1,1,0.02,6
"Stephen Johnston",1990-02-24,"C","Windsor Spitfires",63,0,1,1,0.02,2
"Stephen Silas",1992-06-26,"D","Belleville Bulls",68,0,1,1,0.01,3
"Taylor Doherty",1991-03-02,"D","Kingston Frontenacs",68,0,1,1,0.01,2
"Tim Campbell",1991-02-15,"D","Guelph Storm",54,0,1,1,0.02,4
"Tyler Graovac",1993-04-27,"C","Ottawa 67's",66,0,1,1,0.02,5
"Tyler J. Brown",1991-04-04,"LW","Kingston Frontenacs",67,0,1,1,0.01,3
"Aaron Scott",1992-03-12,"RW","Sudbury Wolves",2,0,0,0,0,NA
"Adam Bignell",1994-03-24,"D","Belleville Bulls",53,0,0,0,0,0
"Adam Chapman",1994-01-08,"C","Sault Ste. Marie Greyhounds",42,0,0,0,0,0
"Adam Lloyd",1994-02-13,"RW","Brampton Battalion",1,0,0,0,0,NA
"Adam Nanji",1993-01-12,"RW","Plymouth Whalers",4,0,0,0,0,NA
"Adam Payerl",1991-03-04,"C","Belleville Bulls",63,0,0,0,0,0
"Adam Restoule",1993-02-21,"LW","Plymouth Whalers",30,0,0,0,0,0
"Adam Sedlak",1991-09-21,"D","Ottawa 67's",59,0,0,0,0,0
"Alex Basso",1993-06-15,"D","Belleville Bulls",57,0,0,0,0,0
"Alex Cord",1992-04-17,"D","Mississauga St. Michaels Majors",54,0,0,0,0,0
"Alex Gudbranson",1994-09-03,"D","Kingston Frontenacs",62,0,0,0,0,0
"Alex Lepkowski",1993-04-08,"D","Barrie Colts",39,0,0,0,0,0
"Alex O'Neil",1992-06-04,"LW","Brampton Battalion",62,0,0,0,0,0
"Alex Racino",1993-06-04,"LW","Sudbury Wolves",46,0,0,0,0,0
"Alexander Khokhlachev",1993-09-09,"C","Windsor Spitfires",67,0,0,0,0,0
"Andre Comtois",1993-01-02,"RW","Sudbury Wolves",9,0,0,0,0,NA
"Andreas Tsogkas",1993-08-13,"C","Brampton Battalion",52,0,0,0,0,0
"Andrew Crescenzi",1992-07-29,"C","Kitchener Rangers",55,0,0,0,0,0
"Andrew Wilson",1991-03-30,"D","Oshawa Generals",3,0,0,0,0,0
"Andrew Yogan",1991-12-04,"C","Erie Otters",10,0,0,0,0,0
"Andrey Kuchin",1991-02-11,"C","Sudbury Wolves",64,0,0,0,0,0
"Andrey Pedan",1993-07-03,"D","Guelph Storm",51,0,0,0,0,0
"Anthony Donati",1991-09-19,"D","Sarnia Sting",35,0,0,0,0,0
"Anthony Luciani",1990-05-13,"RW","Erie Otters",54,0,0,0,0,0
"Anton Zupancic",1991-11-11,"D","Oshawa Generals",17,0,0,0,0,0
"Austen Brassard",1993-01-14,"RW","Belleville Bulls",67,0,0,0,0,0
"Austin Mattson",1991-02-01,"RW","Plymouth Whalers",7,0,0,0,0,0
"Barclay Goodrow",1993-02-26,"LW","Brampton Battalion",65,0,0,0,0,0
"Barron Smith",1991-04-02,"D","Peterborough Petes",16,0,0,0,0,0
"Ben Dubois",1991-03-17,"LW","Ottawa 67's",53,0,0,0,0,0
"Ben Holtom",1992-03-01,"LW","Plymouth Whalers",2,0,0,0,0,NA
"Ben Thomson",1993-01-16,"LW","Kitchener Rangers",68,0,0,0,0,0
"Billy Jenkins",1994-09-08,"C","Niagara IceDogs",40,0,0,0,0,0
"Bjorn Krupp",1991-03-06,"D","Belleville Bulls",61,0,0,0,0,0
"Brady Austin",1993-06-16,"D","Erie Otters",59,0,0,0,0,0
"Braeden Corbeth",1992-06-14,"C","Belleville Bulls",60,0,0,0,0,0
"Branden Morris",1992-03-31,"D","Belleville Bulls",53,0,0,0,0,0
"Brandon Alderson",1992-01-22,"RW","Sarnia Sting",68,0,0,0,0,0
"Brandon Devlin",1994-04-27,"D","Barrie Colts",64,0,0,0,0,0
"Brandon Francisco",1993-02-11,"LW","Sarnia Sting",61,0,0,0,0,0
"Brandon Scott",1993-05-02,"D","Sudbury Wolves",6,0,0,0,0,NA
"Brayden Rose",1993-01-29,"D","Owen Sound Attack",45,0,0,0,0,0
"Brendan Childerley",1992-06-22,"RW","Owen Sound Attack",52,0,0,0,0,0
"Brendan Gaunce",1994-03-25,"C","Belleville Bulls",65,0,0,0,0,0
"Brendan McCann",1993-02-23,"LW","Windsor Spitfires",15,0,0,0,0,0
"Brenden Miller",1994-03-29,"D","Brampton Battalion",2,0,0,0,0,NA
"Brett Appio",1991-04-26,"LW","Erie Otters",55,0,0,0,0,0
"Brett Findlay",1992-10-13,"LW","Sault Ste. Marie Greyhounds",57,0,0,0,0,0
"Brett Gustavsen",1994-03-13,"LW","Ottawa 67's",19,0,0,0,0,0
"Brett Mackie",1991-05-25,"LW","Belleville Bulls",68,0,0,0,0,0
"Brett Morgan",1993-08-12,"LW","Kingston Frontenacs",38,0,0,0,0,0
"Brett Welychka",1994-03-03,"C","London Knights",5,0,0,0,0,0
"Brian Hughes",1993-02-25,"C","Oshawa Generals",2,0,0,0,0,NA
"Brock Beukeboom",1992-04-01,"D","Sault Ste. Marie Greyhounds",44,0,0,0,0,0
"Brock McGinn",1994-02-02,"LW","Guelph Storm",68,0,0,0,0,0
"Brody Silk",1994-11-30,"C","Sudbury Wolves",57,0,0,0,0,0
"Calvin de Haan",1991-05-09,"D","Oshawa Generals",55,0,0,0,0,0
"Cameron Brace",1993-04-08,"RW","Owen Sound Attack",61,0,0,0,0,0
"Cameron Odam",1990-06-26,"D","Kingston Frontenacs",20,0,0,0,0,0
"Cameron Wind",1992-01-25,"D","Brampton Battalion",64,0,0,0,0,0
"Chad Lowry",1991-01-24,"D","Kitchener Rangers",51,0,0,0,0,0
"Chad Thibodeau",1993-03-15,"LW","Sault Ste. Marie Greyhounds",30,0,0,0,0,0
"Charles Sarault",1992-02-20,"C","Kingston Frontenacs",67,0,0,0,0,0
"Charlie Dodero",1992-10-01,"D","Sudbury Wolves",67,0,0,0,0,0
"Chris Albertini",1993-01-16,"RW","Plymouth Whalers",8,0,0,0,0,0
"Chris Buonomo",1992-04-23,"D","Barrie Colts",55,0,0,0,0,0
"Chris Marchese",1994-02-23,"LW","Erie Otters",40,0,0,0,0,0
"Chris Tierney",1994-07-01,"C","London Knights",47,0,0,0,0,0
"Chris Van Laren",1990-06-04,"D","Guelph Storm",62,0,0,0,0,0
"Clark Seymour",1993-05-18,"D","Peterborough Petes",58,0,0,0,0,0
"Cody Donnay",1992-04-19,"RW","London Knights",41,0,0,0,0,0
"Cody Mintz",1994-07-18,"D","Sudbury Wolves",8,0,0,0,0,NA
"Cody Payne",1994-01-14,"C","Oshawa Generals",50,0,0,0,0,0
"Cody Sol",1991-02-11,"D","Kitchener Rangers",60,0,0,0,0,0
"Cole Murduff",1993-09-15,"D","Peterborough Petes",45,0,0,0,0,0
"Colin MacDonald",1992-04-16,"D","Plymouth Whalers",68,0,0,0,0,0
"Colin Suellentrop",1993-06-10,"D","Oshawa Generals",59,0,0,0,0,0
"Connor Boland",1994-11-29,"D","Peterborough Petes",55,0,0,0,0,0
"Connor Crisp",1994-04-08,"C","Erie Otters",48,0,0,0,0,0
"Connor Jarvis",1994-08-27,"LW","Brampton Battalion",7,0,0,0,0,NA
"Conor Stokes",1991-06-08,"LW","Kingston Frontenacs",64,0,0,0,0,0
"Cosimo Fontana",1994-09-08,"RW","Ottawa 67's",14,0,0,0,0,0
"Craig Moore",1991-02-14,"C","Brampton Battalion",60,0,0,0,0,0
"Curtis Crombeen",1993-02-12,"D","Plymouth Whalers",20,0,0,0,0,0
"Dalton Prout",1990-03-13,"D","Saginaw Spirit",52,0,0,0,0,0
"Dalton Young",1993-07-14,"D","Saginaw Spirit",46,0,0,0,0,0
"Dane Fox",1993-10-13,"C","London Knights",51,0,0,0,0,0
"Daniel Erlich",1991-03-13,"LW","Guelph Storm",61,0,0,0,0,0
"Daniel Zweep",1992-04-22,"LW","Owen Sound Attack",48,0,0,0,0,0
"Danny Elser",1993-03-18,"LW","London Knights",34,0,0,0,0,0
"Darryl Snelling",1994-03-13,"D","Belleville Bulls",6,0,0,0,0,NA
"David Broll",1993-01-04,"LW","Sault Ste. Marie Greyhounds",65,0,0,0,0,0
"David Mead",1992-08-24,"D","Sault Ste. Marie Greyhounds",2,0,0,0,0,NA
"David Searle",1992-06-25,"D","Guelph Storm",33,0,0,0,0,0
"David Shields",1991-01-27,"D","Erie Otters",61,0,0,0,0,0
"Dean Pawlaczyk",1992-02-04,"LW","Sarnia Sting",48,0,0,0,0,0
"Derek Froats",1992-05-21,"LW","Kingston Frontenacs",13,0,0,0,0,0
"Derek Holden",1991-01-21,"D","Erie Otters",68,0,0,0,0,0
"Derek Mathers",1993-08-04,"RW","Peterborough Petes",55,0,0,0,0,0
"Derek Schoenmakers",1992-04-17,"RW","Mississauga St. Michaels Majors",57,0,0,0,0,0
"Domenic Alberga",1992-07-28,"C","Brampton Battalion",67,0,0,0,0,0
"Dylan Blujus",1994-01-22,"D","Brampton Battalion",67,0,0,0,0,0
"Dylan Corson",1994-03-01,"C","Belleville Bulls",51,0,0,0,0,0
"Dylan King",1990-07-05,"D","Sault Ste. Marie Greyhounds",68,0,0,0,0,0
"Dylan MacDonald",1993-03-05,"D","Plymouth Whalers",26,0,0,0,0,0
"Dylan Smoskowitz",1993-02-11,"C","Barrie Colts",67,0,0,0,0,0
"Dylan Staples",1994-04-01,"RW","Kingston Frontenacs",37,0,0,0,0,0
"Dylan Wood",1992-04-05,"LW","Niagara IceDogs",2,0,0,0,0,NA
"Egor Omelyanenko",1993-07-10,"LW","Sault Ste. Marie Greyhounds",58,0,0,0,0,0
"Emerson Clark",1992-12-17,"LW","Oshawa Generals",46,0,0,0,0,0
"Eric Ming",1993-03-31,"RW","Kitchener Rangers",65,0,0,0,0,0
"Erik Bradford",1994-10-19,"C","Barrie Colts",5,0,0,0,0,NA
"Ethan Werek",1991-06-07,"C","Kingston Frontenacs",47,0,0,0,0,0
"Evan McEneny",1994-05-22,"D","Kitchener Rangers",44,0,0,0,0,0
"Francis Menard",1992-03-02,"C","Guelph Storm",66,0,0,0,0,0
"Frank Schumacher",1993-10-12,"D","Sudbury Wolves",30,0,0,0,0,0
"Garrett Meurs",1993-01-12,"RW","Plymouth Whalers",68,0,0,0,0,0
"Gemel Smith",1994-04-16,"C","Owen Sound Attack",66,0,0,0,0,0
"Gianluca Curcuruto",1994-02-25,"D","Sault Ste. Marie Greyhounds",56,0,0,0,0,0
"Grant Webermin",1994-02-24,"D","Windsor Spitfires",55,0,0,0,0,0
"Greg Milner",1993-02-24,"C","London Knights",1,0,0,0,0,0
"Greg Staeger",1993-04-21,"D","Owen Sound Attack",35,0,0,0,0,0
"Greg Trichilo",1992-01-02,"RW","Sudbury Wolves",1,0,0,0,0,NA
"Gregg Sutch",1992-02-09,"RW","Mississauga St. Michaels Majors",53,0,0,0,0,0
"Holden Cook",1994-07-28,"RW","Owen Sound Attack",5,0,0,0,0,0
"Ian Watters",1991-12-27,"LW","Brampton Battalion",68,0,0,0,0,0
"Ivan Telegin",1992-02-28,"C","Saginaw Spirit",59,0,0,0,0,0
"Jacob Ringuette",1994-06-03,"D","Saginaw Spirit",15,0,0,0,0,0
"Jake Cardwell",1992-05-24,"D","Ottawa 67's",56,0,0,0,0,0
"Jake Worrad",1993-01-10,"D","London Knights",4,0,0,0,0,0
"Jamie Doornbosch",1990-02-01,"D","Kitchener Rangers",68,0,0,0,0,0
"Jamie Wise",1991-04-05,"LW","Mississauga St. Michaels Majors",40,0,0,0,0,0
"Jan Kaminsky",1992-10-05,"RW","Belleville Bulls",21,0,0,0,0,0
"Jared Dennis",1994-01-16,"LW","Plymouth Whalers",4,0,0,0,0,NA
"Jarrod Maidens",1994-03-04,"C","Owen Sound Attack",47,0,0,0,0,0
"Jason Lacroix",1993-03-31,"LW","Sudbury Wolves",4,0,0,0,0,NA
"Jason Wilson",1990-04-15,"LW","Niagara IceDogs",64,0,0,0,0,0
"Jay Gilbert",1991-08-15,"D","Owen Sound Attack",68,0,0,0,0,0
"JC Campagna",1993-06-11,"LW","Sarnia Sting",51,0,0,0,0,0
"Jeff Corbett",1994-09-20,"D","Sudbury Wolves",12,0,0,0,0,0
"Jeff Swift",1992-07-07,"RW","Peterborough Petes",13,0,0,0,0,0
"Jeremy Gottzmann",1993-04-02,"C","Peterborough Petes",60,0,0,0,0,0
"Jerry D'Amigo",1991-02-19,"LW","Kitchener Rangers",21,0,0,0,0,0
"Jesse Drydak",1991-07-25,"RW","Sarnia Sting",3,0,0,0,0,0
"Jesse Graham",1994-05-13,"D","Niagara IceDogs",63,0,0,0,0,0
"Jesse Stoughton",1991-04-21,"C","Sarnia Sting",21,0,0,0,0,0
