"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Tom Mannino",1987-02-19,"D","Saginaw Spirit",4,0,0,0,0,NA
"Tom Pyatt",1987-02-14,"C","Saginaw Spirit",4,0,0,0,0,0
"Tom Sestito",1987-09-28,"LW","Plymouth Whalers",13,0,0,0,0,0
"Tomas Stryncl",1987-01-12,"D","Brampton Battalion",11,0,0,0,0,0
"Tony Rizzi",1987-01-06,"RW","Kingston Frontenacs",6,0,0,0,0,NA
"Trevor Koverko",1987-03-22,"D","Owen Sound Attack",11,0,0,0,0,NA
"Trevor Solomon",1987-11-04,"D","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Troy Murray",1987-04-22,"D","Sudbury Wolves",9,0,0,0,0,0
"Tyler Cuthbert",1987-05-05,"D","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Tyler Doig",1986-02-15,"C","Guelph Storm",15,0,0,0,0,0
"Tyler Donati",1986-10-17,"LW","Toronto St. Michael's Majors",4,0,0,0,0,0
"Tyler Haskins",1986-05-26,"C","Toronto St. Michael's Majors",4,0,0,0,0,0
"Tyler Kennedy",1986-07-15,"C","Sault Ste. Marie Greyhounds",4,0,0,0,0,0
"Tyson Gimblett",1985-04-01,"D","Saginaw Spirit",4,0,0,0,0,NA
"Victor Oreskovich",1986-08-15,"RW","Kitchener Rangers",5,0,0,0,0,0
"Vladimir Nikiforov",1987-10-07,"RW","Barrie Colts",14,0,0,0,0,0
"Wes Cunningham",1987-03-09,"D","Plymouth Whalers",13,0,0,0,0,0
"Yves Bastien",1989-08-02,"LW","Kitchener Rangers",5,0,0,0,0,0
"Zach Harnden",1989-09-23,"RW","Peterborough Petes",2,0,0,0,0,0
"Zach McCullough",1987-08-15,"D","Owen Sound Attack",11,0,0,0,0,0
"Zack Shepley",1987-08-28,"D","Plymouth Whalers",11,0,0,0,0,0
"Zack Torquato",1989-06-08,"C","Saginaw Spirit",4,0,0,0,0,0
