"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Darels Uljanskis","NO",8,2006-08-25,2006,"6.02",205,"D","Flint Firebirds",2,1,2,3,1.5,4,0,1,1,0,0,0,0,0,2,1
"Lucas Moore","NO",4,2005-06-07,2005,"5.10",197,"D","Brantford Bulldogs",3,1,2,3,1,4,0,2,2,0,0,0,0,0,8,1
"Hayden Reid","NO",18,2006-06-21,2006,"6.00",195,"C","Flint Firebirds",3,1,2,3,1,0,0,0,0,1,0,1,0,0,2,1
"James Barr","NO",16,2007-06-01,2007,"6.01",182,"D","Sarnia Sting",4,1,2,3,0.75,-1,1,1,2,0,1,1,0,0,4,1
"John McLaughlin","NO",17,2009-08-14,2009,"6.00",185,"C","Windsor Spitfires",4,1,2,3,0.75,-4,0,1,1,0,0,0,1,0,4,1
"Owen Outwater","NO",93,2005-01-04,2005,"6.02",187,"LW","Windsor Spitfires",4,1,2,3,0.75,-1,1,0,1,0,0,0,1,0,0,1
"Rylan Singh","NO",4,2007-10-04,2007,"6.00",172,"D","Guelph Storm",4,1,2,3,0.75,1,0,2,2,0,0,0,0,0,6,1
"Max Delisle","NO",10,2009-07-06,2009,"6.01",184,"C","Owen Sound Attack",5,1,2,3,0.6,6,0,0,0,1,0,1,0,0,2,1
"Graydon Jones","NO",9,2007-01-01,2007,"6.00",175,"D","Saginaw Spirit",5,1,2,3,0.6,3,0,0,0,0,0,0,1,0,8,1
"Nolan Laird","NO",19,2006-01-04,2006,"6.01",200,"LW","North Bay Battalion",5,1,2,3,0.6,0,0,0,0,0,0,0,0,0,2,1
"Easton Mikus","NO",13,2007-06-19,2007,"6.01",191,"C","Owen Sound Attack",5,1,2,3,0.6,3,0,0,0,0,0,0,0,0,2,1
"Aleksandr Sementsov","YES",92,2009-08-25,2009,"5.09",165,"LW","Barrie Colts",5,1,2,3,0.6,-4,0,2,2,0,0,0,0,0,2,1
"Easton Walos","YES",11,2008-12-28,2008,"5.11",192,"C","Sarnia Sting",5,1,2,3,0.6,-3,0,0,0,1,0,1,0,0,13,1
"Nick Wellenreiter","NO",28,2006-02-17,2006,"5.11",167,"RW","North Bay Battalion",5,1,2,3,0.6,1,0,0,0,0,0,0,0,0,2,1
"Manuel Amado","YES",42,2008-02-04,2008,"6.02",175,"C","Brampton Steelheads",6,1,2,3,0.5,0,0,0,0,1,0,1,0,0,0,1
"Brady Blaseg","YES",16,2008-07-21,2008,"6.04",209,"D","Oshawa Generals",6,1,2,3,0.5,-8,0,2,2,0,0,0,0,0,4,1
