"Name","BD","Pos","Team","GP","SHG","SHA","SHPTS","SHPTS/G","SHPTS%"
"Dracen Campbell",2007-08-09,"D","Sarnia Sting",1,0,0,0,0,NA
"Drake Gram",2008-01-16,"D","Windsor Spitfires",2,0,0,0,0,0
"Drew Bate",2010-05-19,"C","Saginaw Spirit",2,0,0,0,0,0
"Drew Roscoe",2009-03-05,"D","Saginaw Spirit",2,0,0,0,0,NA
"Dylan Tsherna",2007-02-22,"RW","Barrie Colts",2,0,0,0,0,NA
"Eamon Edgar",2009-11-05,"C","Barrie Colts",2,0,0,0,0,NA
"Easton Mikus",2007-06-19,"C","Brampton Steelheads",2,0,0,0,0,NA
"Easton Poe",2008-03-06,"D","North Bay Battalion",2,0,0,0,0,NA
"Easton Walos",2008-12-28,"C","Sarnia Sting",1,0,0,0,0,0
"Elijah Chavez",2008-09-15,"LW","Peterborough Petes",1,0,0,0,0,NA
"Eloan Le Gallic",2009-02-06,"C","London Knights",2,0,0,0,0,0
"Eric Frossard",2008-01-12,"D","Guelph Storm",2,0,0,0,0,NA
"Ethan Garden",2008-04-13,"C","Windsor Spitfires",2,0,0,0,0,0
"Ethan Kindree",2008-06-02,"C","Owen Sound Attack",2,0,0,0,0,NA
"Evan Headrick",2008-01-08,"RW","Erie Otters",1,0,0,0,0,0
"Evan Nicholson",2009-04-01,"LW","Kitchener Rangers",1,0,0,0,0,NA
"Evan Passmore",2006-12-05,"D","Barrie Colts",2,0,0,0,0,NA
"Evan Van Gorp",2006-05-18,"LW","London Knights",2,0,0,0,0,0
"Evgeny Dubrovtsev",2008-03-18,"C","North Bay Battalion",2,0,0,0,0,0
"Finley Butler",2010-03-22,"RW","Guelph Storm",2,0,0,0,0,0
"Finn Merrill",2010-07-12,"RW","Niagara IceDogs",2,0,0,0,0,NA
"Francis Parish",2007-03-06,"RW","Peterborough Petes",2,0,0,0,0,NA
"Gairin Michalski",2007-05-02,"D","Erie Otters",1,0,0,0,0,0
"Gavin Christie",2009-04-13,"D","Kingston Frontenacs",2,0,0,0,0,NA
"Genc Ula",2008-10-26,"D","Sudbury Wolves",2,0,0,0,0,0
"Geno Carcone",2006-11-14,"LW","Brampton Steelheads",2,0,0,0,0,0
"Gensen Geldart",2009-05-05,"C","Saginaw Spirit",2,0,0,0,0,NA
"George Komadoski",2008-08-03,"D","Brantford Bulldogs",2,0,0,0,0,0
"Gordei Khotkov",2010-03-30,"D","Saginaw Spirit",2,0,0,0,0,0
"Grady Spicer",2008-07-17,"D","Windsor Spitfires",2,0,0,0,0,NA
"Grant Yingst",2009-01-18,"RW","Oshawa Generals",2,0,0,0,0,NA
"Grayden Strohack",2006-06-09,"D","Peterborough Petes",2,0,0,0,0,NA
"Haeden Ellis",2007-03-07,"C","Kitchener Rangers",2,0,0,0,0,NA
"Hamza Havusic",2008-07-03,"RW","Windsor Spitfires",2,0,0,0,0,NA
"Harrison Franssen",2006-05-04,"C","Oshawa Generals",2,0,0,0,0,0
"Hayden Barch",2007-04-14,"D","North Bay Battalion",2,0,0,0,0,NA
"Holden Carter",2007-01-17,"D","Peterborough Petes",2,0,0,0,0,NA
"Hudson Leenders",2009-02-01,"LW","Saginaw Spirit",1,0,0,0,0,NA
"Hudson Martin",2007-06-20,"D","Sudbury Wolves",2,0,0,0,0,NA
"Ian Inskip",2009-02-05,"LW","Windsor Spitfires",2,0,0,0,0,NA
"Ian Robinson",2008-10-07,"C","Kitchener Rangers",2,0,0,0,0,NA
"Illia Shybinskyi",2007-05-14,"LW","Guelph Storm",2,0,0,0,0,NA
"Ivan Belikov",2010-03-31,"D","Sudbury Wolves",2,0,0,0,0,NA
"Jaakko Wycisk",2009-03-16,"C","Guelph Storm",2,0,0,0,0,NA
"Jace Voortman",2010-08-12,"LW","Owen Sound Attack",2,0,0,0,0,NA
"Jack Clarke",2007-06-05,"C","Peterborough Petes",2,0,0,0,0,NA
"Jack Johnson",2009-04-21,"D","Ottawa 67's",1,0,0,0,0,NA
"Jack LaBrash",2007-03-04,"LW","Kitchener Rangers",2,0,0,0,0,0
"Jack Torr",2008-07-29,"C","Brantford Bulldogs",2,0,0,0,0,0
"Jack Van Volsen",2006-01-12,"C","Sarnia Sting",1,0,0,0,0,0
"Jackson Marthaler",2008-02-10,"D","Oshawa Generals",2,0,0,0,0,NA
