"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Lucas Nutting","YES",2009-04-05,"5.11",185,"D","Flint Firebirds",1,0,0,0,0,0,0,0,0,0,0,0
"Matthew Henderson","NO",2009-03-20,"6.00",175,"D","Kingston Frontenacs",2,0,0,0,0,2,0,0,0,0,0,0
"Max Delisle","NO",2009-07-06,"6.01",184,"C","Owen Sound Attack",2,0,0,0,0,-1,0,0,0,0,0,2
"Michael Tang","YES",2009-04-15,"6.01",170,"RW","Barrie Colts",2,0,0,0,0,-3,0,0,0,0,0,0
"Myles Dunn","YES",2009-06-18,"5.10",170,"RW","Sarnia Sting",2,0,0,0,0,-1,0,0,0,0,0,2
"Owen Miniotas","NO",2009-05-02,"6.01",185,"RW","London Knights",1,0,0,0,0,0,0,0,0,0,0,0
"Reid Hayes","YES",2009-07-16,"6.00",184,"RW","Ottawa 67's",1,0,0,0,0,0,0,0,0,0,0,0
"Rocco Olek","YES",2009-07-07,"6.03",190,"RW","Barrie Colts",2,0,0,0,0,-1,0,0,0,0,0,0
"Ryerson Edgar","NO",2009-07-30,"5.10",165,"C","Niagara IceDogs",2,0,0,0,0,1,0,0,0,0,0,0
"Sarvir Jaworski","YES",2009-02-24,"5.11",165,"LW","Sarnia Sting",1,0,0,0,0,-1,0,0,0,0,0,2
"Sebastian Mogull","NO",2008-12-12,"6.01",185,"RW","Barrie Colts",2,0,0,0,0,-3,0,0,0,0,0,0
"Stepan Stejskal","YES",2009-01-06,"6.00",165,"LW","Niagara IceDogs",2,0,0,0,0,-1,0,0,0,0,0,0
"Timothy Kazda","NO",2008-10-04,"6.01",193,"RW","Guelph Storm",2,0,0,0,0,-1,0,0,0,0,0,0
"Tommy Kut","YES",2009-01-05,"6.03",224,"LD","Kitchener Rangers",2,0,0,0,0,1,0,0,0,0,0,0
"Ty Bergeron","YES",2009-05-26,"6.01",200,"LW","Windsor Spitfires",2,0,0,0,0,-2,0,0,0,0,0,2
"Tyler Martyniuk","NO",2008-12-31,"6.01",200,"D","Saginaw Spirit",2,0,0,0,0,-3,0,0,0,0,0,0
"Will Mullins","YES",2009-05-14,"6.00",179,"RW","Niagara IceDogs",2,0,0,0,0,-1,0,0,0,0,0,0
