"Name","BD","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","GWG","ENG","PIM"
"John Montanino",2010-05-26,"LD","Brampton Steelheads",1,0,0,0,0,-3,0,0,0,0,2
"Kyler Lauder",2010-01-15,"LW","Saginaw Spirit",2,0,0,0,0,-1,0,0,0,0,2
"Lachlan Larmand",2009-03-25,"RW","Brampton Steelheads",1,0,0,0,0,-1,0,0,0,0,2
"Lincoln Edwards",2009-09-12,"LW","North Bay Battalion",2,0,0,0,0,-2,0,0,0,0,0
"Logan Massimi",2009-01-05,"RD","Kitchener Rangers",2,0,0,0,0,1,0,0,0,0,0
"Logan Prud'homme",2010-08-02,"C","Kingston Frontenacs",2,0,0,0,0,-1,0,0,0,0,0
"Lucas Matheson",2010-02-24,"D","Barrie Colts",2,0,0,0,0,-2,0,0,0,0,0
"Lucas Nutting",2009-04-05,"D","Flint Firebirds",1,0,0,0,0,0,0,0,0,0,0
"Max Fransen",2010-03-29,"D","Owen Sound Attack",2,0,0,0,0,-1,0,0,0,0,0
"Michael Tang",2009-04-15,"RW","Barrie Colts",2,0,0,0,0,-3,0,0,0,0,0
"Myles Dunn",2009-06-18,"RW","Sarnia Sting",2,0,0,0,0,-1,0,0,0,0,2
"Reid Hayes",2009-07-16,"RW","Ottawa 67's",1,0,0,0,0,0,0,0,0,0,0
"Rocco Olek",2009-07-07,"RW","Barrie Colts",2,0,0,0,0,-1,0,0,0,0,0
"Roman Andreev",2010-07-10,"RW","Kitchener Rangers",2,0,0,0,0,0,0,0,0,0,0
"Roman Vanacker",2010-05-08,"LW","Kingston Frontenacs",2,0,0,0,0,-1,0,0,0,0,0
"Ryan Beaulieu",2010-01-10,"D","London Knights",2,0,0,0,0,2,0,0,0,0,2
"Sarvir Jaworski",2009-02-24,"LW","Sarnia Sting",1,0,0,0,0,-1,0,0,0,0,2
"Stepan Stejskal",2009-01-06,"LW","Niagara IceDogs",2,0,0,0,0,-1,0,0,0,0,0
"Tommy Kut",2009-01-05,"LD","Kitchener Rangers",2,0,0,0,0,1,0,0,0,0,0
"Ty Bergeron",2009-05-26,"LW","Windsor Spitfires",2,0,0,0,0,-2,0,0,0,0,2
"Will Mullins",2009-05-14,"RW","Niagara IceDogs",2,0,0,0,0,-1,0,0,0,0,0
