"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Ryan Hedley","NO",37,2007-08-09,2007,"5.11",180,"C","Oshawa Generals",2,0,1,1,0.5,-1,0,0,0,0,0,0,0,0,7,1
"Carter Hicks","NO",58,2008-02-20,2008,"6.01",182,"D","Brampton Steelheads",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Tobias Kramer","NO",44,2008-06-27,2008,"6.06",220,"D","Niagara IceDogs",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,2,1
"Kash Kwajah","YES",73,2010-09-10,2010,"5.10",175,"C","Sudbury Wolves",2,0,1,1,0.5,2,0,0,0,0,0,0,0,0,0,1
"Jack LaBrash","NO",93,2007-03-04,2007,"6.05",196,"LW","Kitchener Rangers",2,0,1,1,0.5,2,0,0,0,0,0,0,0,0,6,1
"Jared Langdon","NO",61,2006-11-16,2006,"6.00",194,"C","Niagara IceDogs",2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,1
"Max Lappan","YES",22,2010-03-17,2010,"6.03",215,"D","Niagara IceDogs",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,7,1
"Jeremy Martin","NO",93,2007-02-06,2007,"6.01",195,"LW","Soo Greyhounds",2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,2,1
"Cole Mazzoni","YES",89,2009-05-12,2009,"6.03",193,"LW","Oshawa Generals",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Wil McFadden","NO",12,2007-02-15,2007,"5.08",170,"C","Niagara IceDogs",2,0,1,1,0.5,-1,0,0,0,0,0,0,0,0,0,1
"Kade Meyer","NO",2,2008-11-05,2008,"5.08",190,"D","Saginaw Spirit",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,5,1
"Matthew Miller","NO",34,2008-05-28,2008,"5.08",160,"C","Guelph Storm",2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,0,1
"Alex Milojevic","YES",93,2009-09-05,2009,"5.11",195,"C","Saginaw Spirit",2,0,1,1,0.5,-1,0,1,1,0,0,0,0,0,2,1
"Shamar Moses","NO",24,2007-05-06,2007,"6.02",211,"RW","North Bay Battalion",2,0,1,1,0.5,-3,0,1,1,0,0,0,0,0,0,1
"Tanner Nettleton","NO",19,2008-02-08,2008,"5.11",179,"D","Kingston Frontenacs",2,0,1,1,0.5,0,0,1,1,0,0,0,0,0,0,1
"Matthew Perreault","NO",72,2009-07-28,2009,"6.00",178,"D","Peterborough Petes",2,0,1,1,0.5,-2,0,1,1,0,0,0,0,0,2,1
"Dmitry Savin","YES",10,2009-04-14,2009,"6.03",190,"C","Saginaw Spirit",2,0,1,1,0.5,-1,0,0,0,0,0,0,0,0,0,1
"Sawyer Schmidt","NO",90,2009-12-29,2009,"5.11",180,"C","Saginaw Spirit",2,0,1,1,0.5,0,0,1,1,0,0,0,0,0,0,1
"Kaden Schneider","NO",21,2007-06-21,2007,"6.03",181,"LD","Kitchener Rangers",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,2,1
"Parker Smith","YES",96,2009-04-17,2009,"5.09",175,"LW","Sudbury Wolves",2,0,1,1,0.5,1,0,0,0,0,0,0,0,0,0,1
"Michal Svrcek","NO",91,2007-01-26,2007,"5.11",190,"LW","Windsor Spitfires",2,0,1,1,0.5,-2,0,1,1,0,0,0,0,0,0,1
"Jack Torr","NO",11,2008-07-29,2008,"6.02",205,"C","Brantford Bulldogs",2,0,1,1,0.5,1,0,1,1,0,0,0,0,0,2,1
"Braeden Van Gelder","NO",16,2007-06-16,2007,"6.02",203,"D","Guelph Storm",2,0,1,1,0.5,0,0,0,0,0,0,0,0,0,9,1
"Christopher Weiss","YES",17,2009-01-17,2009,"6.03",201,"D","Soo Greyhounds",2,0,1,1,0.5,2,0,0,0,0,0,0,0,0,0,1
"Jakub Winkelhofer","NO",21,2007-01-12,2007,"6.02",187,"D","Soo Greyhounds",2,0,1,1,0.5,0,0,1,1,0,0,0,0,0,0,1
"Aiden Young","NO",26,2007-04-18,2007,"5.11",181,"C","Peterborough Petes",2,0,1,1,0.5,-1,0,0,0,0,0,0,0,0,2,1
"Cole Zurawski","NO",44,2008-02-06,2008,"6.01",190,"RW","Owen Sound Attack",2,0,1,1,0.5,-1,0,1,1,0,0,0,0,0,0,1
"Pacey Adduono","NO",11,2008-09-01,2008,"5.11",185,"C","Peterborough Petes",1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,1
"Manuel Amado","NO",42,2008-02-04,2008,"6.02",175,"C","Brampton Steelheads",1,0,0,0,0,-2,0,0,0,0,0,0,0,0,2,1
"Kaden Aucoin","NO",33,2009-08-14,2009,"6.02",185,"D","Sarnia Sting",1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
"Cameron Aucoin","NO",6,2007-03-20,2007,"6.01",190,"D","Sarnia Sting",1,0,0,0,0,-1,0,0,0,0,0,0,0,0,2,1
