"Name","Rookie","JN","BD","BD_Y","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","SHG","SHA","SHPTS","GWG","ENG","PIM","Active"
"Nick Isaacson","YES",15,1999-08-11,1999,"6.03",195,"LW","Peterborough Petes",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Adam Kozlowski","YES",28,1998-03-23,1998,"6.04",185,"LW","Oshawa Generals",3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Brock Perry","YES",11,1998-01-20,1998,"6.04",183,"LW","Sarnia Sting",3,0,0,0,0,-5,0,0,0,0,0,0,0,0,0,1
"Tyler Rollo","NO",9,1997-07-30,1997,"5.10",150,"LW","Peterborough Petes",3,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1
"John  Warren","NO",18,1997-01-10,1997,"5.05",150,"LW","London Knights",4,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,1
"Brandon Yeamans","NO",19,1998-05-26,1998,"5.09",158,"C","Mississauga Steelheads",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"Jaimen Allison","YES",3,1999-11-01,1999,"6.04",211,"D","Oshawa Generals",6,0,0,0,0,-3,0,0,0,0,0,0,0,0,0,1
"Quinn Hanna","YES",13,1999-04-14,1999,"6.03",192,"D","Guelph Storm",6,0,0,0,0,-2,0,0,0,0,0,0,0,0,7,1
"Cedric Ralph","YES",14,1999-01-21,1999,"5.09",176,"C","Guelph Storm",6,0,0,0,0,-8,0,0,0,0,0,0,0,0,7,1
"Jake  Harrison","NO",28,1996-06-17,1996,"6.01",210,"RW","Mississauga Steelheads",8,0,0,0,0,-4,0,0,0,0,0,0,0,0,17,1
"Jonathan Duchesne","NO",28,1996-02-12,1996,"6.01",209,"D","Sudbury Wolves",9,0,0,0,0,-1,0,0,0,0,0,0,0,0,15,1
"Troy Henley","NO",24,1997-01-13,1997,"6.00",210,"D","Peterborough Petes",9,0,0,0,0,-5,0,0,0,0,0,0,0,0,9,1
"Liam Buckley","NO",20,1997-12-16,1997,"6.03",168,"LW","Guelph Storm",11,0,0,0,0,-3,0,0,0,0,0,0,0,0,2,1
"Kyle  Moore","YES",27,1998-01-20,1998,"6.01",216,"RW","North Bay Battalion",16,0,0,0,0,-4,0,0,0,0,0,0,0,0,11,1
"Josh Wainman","NO",22,1999-02-20,1999,"6.00",183,"D","Erie Otters",22,0,0,0,0,-4,0,0,0,0,0,0,0,0,4,1
