"Name","Rookie","BD","Hgt","Wgt","Pos","Team","GP","G","A","PTS","Pts/G","+/-","PPG","PPA","PPP","GWG","ENG","PIM"
"Vinzenz Rohrer","YES",2004-09-09,"5.11",168,"RW","Ottawa 67's",64,25,23,48,0.75,-9,7,8,15,3,0,14
"Beau Jelsma","YES",2004-04-28,"5.10",180,"C","Barrie Colts",68,27,20,47,0.69,12,4,2,6,6,0,23
"Kocha Delic","YES",2004-03-11,"5.11",198,"C","Sudbury Wolves",65,17,29,46,0.71,6,2,8,10,1,1,29
"Ryan Abraham","YES",2004-04-05,"5.08",168,"C","Windsor Spitfires",64,15,31,46,0.72,18,1,6,7,0,1,60
"Jake Karabela","YES",2004-03-07,"5.11",188,"LW","Guelph Storm",68,12,33,45,0.66,14,3,10,13,1,0,28
"Zakary Lavoie","YES",2004-03-13,"5.11",194,"RW","Mississauga Steelheads",64,23,21,44,0.69,15,3,2,5,3,2,18
"Pano Fimis","YES",2004-06-17,"5.11",183,"C","Niagara IceDogs",54,14,30,44,0.81,-13,5,5,10,1,0,26
"Michael Buchinger","YES",2004-04-25,"6.00",191,"D","Guelph Storm",63,5,39,44,0.7,15,2,17,19,1,1,47
"Paul Ludwinski","YES",2004-04-23,"5.11",187,"C","Kingston Frontenacs",67,16,27,43,0.64,2,2,5,7,4,1,20
"Aidan Castle","YES",2004-01-08,"6.01",180,"RW","Niagara IceDogs",68,15,28,43,0.63,-29,4,8,12,1,0,24
"Hunter Haight","YES",2004-04-04,"5.11",180,"C","Barrie Colts",63,22,19,41,0.65,7,3,5,8,1,0,13
"Max Namestnikov","YES",2004-02-06,"5.08",184,"C","Sarnia Sting",68,16,24,40,0.59,-12,5,8,13,3,1,49
"Kirill Kudryavtsev","YES",2004-02-05,"6.00",202,"D","Soo Greyhounds",68,5,34,39,0.57,13,1,12,13,0,0,10
"Gavin Bryant","YES",2004-07-24,"5.11",188,"C","Owen Sound Attack",63,9,29,38,0.6,0,1,4,5,1,1,15
"Brady Stonehouse","YES",2004-08-06,"5.10",194,"RW","Ottawa 67's",68,18,17,35,0.51,-10,5,2,7,2,2,52
"Dalyn Wakely","YES",2004-03-05,"6.01",198,"C","North Bay Battalion",67,20,14,34,0.51,6,2,1,3,2,0,21
"Owen Van Steensel","YES",2004-08-04,"5.10",185,"LW","North Bay Battalion",66,10,24,34,0.52,21,3,0,3,1,0,12
"Rodwin Dionicio","YES",2004-03-30,"6.02",205,"D","Niagara IceDogs",57,6,25,31,0.54,-22,4,12,16,0,0,45
"Luca D'Amato","YES",2004-08-18,"5.09",160,"D","Flint Firebirds",67,7,23,30,0.45,8,2,3,5,1,0,28
"Brice Cooke","YES",2004-03-23,"6.02",202,"LW","Niagara IceDogs",64,18,10,28,0.44,-25,5,3,8,2,0,42
"Ruslan Gazizov","YES",2004-01-21,"5.11",185,"LW","London Knights",54,10,18,28,0.52,-6,0,7,7,1,0,22
"Spencer Sova","YES",2004-01-10,"6.01",190,"D","Erie Otters",64,9,19,28,0.44,-24,4,9,13,1,0,14
"Chas Sharpe","NO",2003-11-28,"6.03",196,"RD","Mississauga Steelheads",62,6,22,28,0.45,4,1,9,10,2,0,35
"Patrick Thomas","YES",2004-08-21,"6.00",178,"C","Hamilton Bulldogs",64,6,21,27,0.42,13,0,1,1,1,0,4
"Liam Arnsby","NO",2003-11-20,"5.11",180,"C","North Bay Battalion",46,9,17,26,0.57,9,3,3,6,0,1,70
